,batsman,Innings,Runs,Balls,Dismissals,Dot%,Score
0,AD Russell,2,68,28,0,0.35714285714285715,0.9999935040023206
1,S Dhawan,2,32,14,0,0.21428571428571427,0.7759399508861288
2,SPD Smith,2,27,12,1,0.16666666666666666,0.7281986289459255
3,A Ashish Reddy,2,28,13,1,0.23076923076923078,0.674624827498103
4,HH Pandya,3,42,21,0,0.23809523809523808,0.5711601896873788
5,IK Pathan,4,56,29,2,0.20689655172413793,0.4935478283655356
6,AB de Villiers,4,44,23,3,0.2608695652173913,0.4434118494094125
7,KA Pollard,2,32,18,0,0.3333333333333333,0.38207292170139034
8,Harbhajan Singh,3,57,33,2,0.42424242424242425,0.3683902054252328
9,CL White,3,35,20,2,0.3,0.311082206100525
10,SS Tiwary,2,24,14,1,0.2857142857142857,0.2896748989013115
11,RG Sharma,2,19,11,2,0.36363636363636365,0.28000029953761146
12,P Kumar,2,26,16,1,0.25,0.23292723386657976
13,BJ Hodge,3,34,21,1,0.2857142857142857,0.23257871321083937
14,DA Miller,2,21,13,1,0.3076923076923077,0.21073444749656553
15,MS Bisla,2,17,11,2,0.45454545454545453,0.15898860011442453
16,DT Christian,2,13,9,0,0.2222222222222222,0.10937729493226629
17,STR Binny,2,24,18,0,0.2777777777777778,0.08685955295592991
18,PP Chawla,4,19,14,3,0.6428571428571429,0.07557315875973301
19,Y Nagar,2,17,13,0,0.38461538461538464,0.06656131906783586
20,LR Shukla,3,33,26,3,0.34615384615384615,0.05788425377882623
21,G Gambhir,2,14,11,1,0.36363636363636365,0.05490907232601754
22,MK Pandey,2,17,16,1,0.25,0.0231513232551884
23,OA Shah,2,13,12,1,0.3333333333333333,0.021675715864306097
24,YK Pathan,4,16,16,2,0.25,0.012046882652209713
25,AD Mathews,2,15,16,2,0.3125,0.00834108767046879
26,Yuvraj Singh,2,11,12,2,0.4166666666666667,0.006564220464838288
27,A Mishra,2,6,10,3,0.6,1.851400659789711e-06
