,batsman,Innings,Runs,Balls,Dismissals,Dot%,Score
0,SE Marsh,3,113,61,1,0.19672131147540983,0.9893885938251552
1,SR Watson,4,139,82,3,0.2682926829268293,0.7697178110871169
2,AD Russell,4,90,69,1,0.391304347826087,0.6094852531088119
3,MS Bisla,4,109,76,2,0.3026315789473684,0.5358413880835858
4,NV Ojha,3,74,49,2,0.32653061224489793,0.5187068023683286
5,AB de Villiers,6,118,85,2,0.29411764705882354,0.4437136647346069
6,SA Yadav,2,64,59,1,0.3728813559322034,0.44363527885337767
7,AD Mathews,2,58,50,0,0.3,0.3813025076598601
8,MK Pandey,3,50,35,2,0.2,0.36458937423938775
9,DA Miller,3,58,42,2,0.2619047619047619,0.3421486558906608
10,G Gambhir,4,104,86,2,0.29069767441860467,0.334331489567891
11,Y Venugopal Rao,3,67,52,2,0.3269230769230769,0.29211657587781786
12,V Kohli,7,197,167,6,0.33532934131736525,0.2658356958866556
13,CL White,3,58,54,1,0.3333333333333333,0.26547665611695337
14,IK Pathan,5,54,62,1,0.5,0.22174413013929592
15,R Dravid,4,102,87,4,0.3448275862068966,0.22001741926017668
16,SN Khan,2,48,46,1,0.3695652173913043,0.21774340722540522
17,JH Kallis,5,144,133,5,0.3157894736842105,0.20846476112902496
18,LR Shukla,4,43,36,1,0.3888888888888889,0.1997181248307802
19,DA Warner,4,111,103,4,0.3300970873786408,0.19217167714793837
20,RG Sharma,5,91,76,5,0.3684210526315789,0.18141690275505143
21,Yuvraj Singh,4,77,69,2,0.37681159420289856,0.17183111701698353
22,M Manhas,2,44,52,1,0.40384615384615385,0.1633782692124003
23,LRPL Taylor,3,34,29,2,0.41379310344827586,0.14699472085737844
24,KA Pollard,4,44,44,1,0.5909090909090909,0.12932392361958467
25,KD Karthik,5,69,62,4,0.43548387096774194,0.1201236929403134
26,AT Rayudu,4,50,46,2,0.2826086956521739,0.11164051500946524
27,MK Tiwary,3,53,51,2,0.29411764705882354,0.10570211634218075
28,AL Menaria,2,36,38,1,0.4473684210526316,0.10036394248330754
29,SPD Smith,4,57,56,2,0.25,0.09180514574685189
30,PA Patel,2,33,35,1,0.37142857142857144,0.08504735989607336
31,DPMD Jayawardene,3,36,35,3,0.37142857142857144,0.07962787348099737
32,SS Tiwary,3,54,61,2,0.39344262295081966,0.06311109973717761
33,KC Sangakkara,3,24,25,3,0.52,0.05418779769260336
34,RV Uthappa,4,40,42,4,0.35714285714285715,0.053495609242071585
35,Harbhajan Singh,3,25,28,0,0.5,0.04739394867871977
36,YK Pathan,6,39,43,3,0.4186046511627907,0.04153141928601432
37,S Dhawan,5,44,56,2,0.39285714285714285,0.02803625932580388
38,A Mishra,2,22,27,2,0.5555555555555556,0.02593903502248333
39,WP Saha,2,16,24,1,0.4166666666666667,0.012150743014595204
40,SC Ganguly,2,7,24,2,0.7083333333333334,5.107308095524409e-05
