,batsman,Innings,Runs,Balls,Dismissals,Dot%,Score
0,AC Gilchrist,2,75,45,1,0.4666666666666667,0.8890364008903124
1,MS Bisla,3,89,67,0,0.47761194029850745,0.7636938604707638
2,SR Watson,3,80,62,0,0.41935483870967744,0.6345712788946126
3,SS Iyer,2,42,24,1,0.20833333333333334,0.5599624402988423
4,JH Kallis,5,74,67,1,0.44776119402985076,0.4098161961537707
5,DPMD Jayawardene,3,44,29,2,0.3793103448275862,0.2964621338441464
6,RV Uthappa,8,137,94,4,0.48936170212765956,0.28580702889217713
7,AB de Villiers,4,45,31,1,0.41935483870967744,0.26890996716221355
8,MK Pandey,5,70,50,2,0.52,0.22280929588947898
9,SE Marsh,4,50,55,1,0.4909090909090909,0.17923177160336726
10,S Dhawan,6,122,102,3,0.38235294117647056,0.17088673287608847
11,Mandeep Singh,2,43,39,1,0.5128205128205128,0.16544954664684436
12,SR Tendulkar,3,41,32,1,0.46875,0.16194710068950863
13,KL Rahul,2,31,24,1,0.4166666666666667,0.15471969724104492
14,CL White,2,20,15,1,0.3333333333333333,0.14674600562241172
15,KD Karthik,4,49,45,0,0.4888888888888889,0.13457838575938397
16,NV Ojha,3,51,41,2,0.5609756097560976,0.12986846277091207
17,SA Yadav,2,18,14,0,0.35714285714285715,0.11736703352775352
18,AM Rahane,4,53,42,3,0.42857142857142855,0.11514993825957856
19,R Dravid,3,43,42,0,0.5476190476190477,0.10028892997574275
20,MA Agarwal,6,90,75,5,0.56,0.09256074336882372
21,SC Ganguly,3,39,35,1,0.5428571428571428,0.08918787427501138
22,V Sehwag,6,48,39,5,0.5384615384615384,0.08719211262297612
23,JD Ryder,2,24,21,2,0.5714285714285714,0.0598038336680118
24,RG Sharma,3,29,26,1,0.38461538461538464,0.05906281645792725
25,PA Patel,4,48,43,2,0.4186046511627907,0.057297925031925045
26,V Kohli,7,70,79,2,0.46835443037974683,0.0501655913756623
27,DA Warner,7,75,69,3,0.463768115942029,0.04788479858696029
28,CA Lynn,2,22,21,2,0.5238095238095238,0.03201826995501412
29,G Gambhir,6,69,68,3,0.5147058823529411,0.03137478594977944
30,Q de Kock,3,27,26,3,0.6923076923076923,0.027957002668383652
31,BB McCullum,5,48,49,4,0.5714285714285714,0.018425940872285648
32,HH Gibbs,2,11,12,2,0.75,0.008933448285587172
33,CH Gayle,5,23,33,4,0.696969696969697,1.6606923956144236e-05
